cust_id,lookalikes
C0001,"[('C0120', 0.8311), ('C0091', 0.7428), ('C0069', 0.7365)]"
C0002,"[('C0178', 0.8821), ('C0159', 0.8614), ('C0031', 0.7955)]"
C0003,"[('C0031', 0.7948), ('C0133', 0.7924), ('C0195', 0.7895)]"
C0004,"[('C0012', 0.9193), ('C0113', 0.9017), ('C0065', 0.8872)]"
C0005,"[('C0007', 0.8992), ('C0197', 0.8613), ('C0095', 0.8571)]"
C0006,"[('C0187', 0.814), ('C0196', 0.767), ('C0185', 0.743)]"
C0007,"[('C0005', 0.8992), ('C0140', 0.8901), ('C0085', 0.8356)]"
C0008,"[('C0093', 0.8718), ('C0109', 0.8165), ('C0194', 0.8077)]"
C0009,"[('C0198', 0.9622), ('C0060', 0.9389), ('C0014', 0.9272)]"
C0010,"[('C0111', 0.8793), ('C0056', 0.8599), ('C0077', 0.7822)]"
C0011,"[('C0107', 0.8474), ('C0153', 0.8129), ('C0126', 0.7947)]"
C0012,"[('C0004', 0.9193), ('C0113', 0.9108), ('C0065', 0.8854)]"
C0013,"[('C0099', 0.9306), ('C0188', 0.8437), ('C0156', 0.8369)]"
C0014,"[('C0060', 0.978), ('C0128', 0.9501), ('C0097', 0.9442)]"
C0015,"[('C0058', 0.9224), ('C0036', 0.9099), ('C0123', 0.9073)]"
C0016,"[('C0117', 0.8015), ('C0176', 0.7132), ('C0042', 0.685)]"
C0017,"[('C0075', 0.9393), ('C0057', 0.8112), ('C0004', 0.8034)]"
C0018,"[('C0068', 0.8453), ('C0122', 0.7681), ('C0087', 0.7584)]"
C0019,"[('C0121', 0.7031), ('C0119', 0.6991), ('C0191', 0.6906)]"
C0020,"[('C0140', 0.9242), ('C0078', 0.8784), ('C0080', 0.8507)]"
